Time (s)	Electron temperature (V), Point: 1.001E-4	e+Ar=>e+Ar (m^3/(s*mol)), Point: 1.001E-4	e+Ar=>e+Ars (m^3/(s*mol)), Point: 1.001E-4	e+Ars=>e+Ar (m^3/(s*mol)), Point: 1.001E-4	e+Ar=>2e+Ar+ (m^3/(s*mol)), Point: 1.001E-4	e+Ars=>2e+Ar+ (m^3/(s*mol)), Point: 1.001E-4
0.0000		0.0333	1.2995E9	0.000   	4.7692E5	0.0000	        0.0000
5.0000E-6	1.0832	1.2240E10	95822	        1.1368E8	4470.6	        1.5046E9
1.0000E-5	1.5452	2.0987E10	3.2582E6	2.1821E8	4.6294E5	5.5265E9
1.5000E-5	1.9776	3.0180E10	2.1453E7	3.3794E8	5.2324E6	1.0874E10
2.0000E-5	2.3865	3.9173E10	7.0651E7	4.6343E8	2.3707E7	1.6531E10
2.5000E-5	2.7770	4.7596E10	1.6211E8	5.8920E8	6.7287E7	2.2021E10
3.0000E-5	3.1524	5.5288E10	3.0016E8	7.1219E8	1.4534E8	2.7157E10
3.5000E-5	3.5153	6.2202E10	4.8383E8	8.3075E8	2.6367E8	3.1879E10
4.0000E-5	3.8675	6.8375E10	7.0904E8	9.4408E8	4.2481E8	3.6193E10
4.5000E-5	4.2106	7.3858E10	9.7018E8	1.0519E9	6.2874E8	4.0123E10
5.0000E-5	4.5456	7.8720E10	1.2614E9	1.1541E9	8.7382E8	4.3702E10
5.5000E-5	4.8735	8.3028E10	1.5769E9	1.2509E9	1.1573E9	4.6965E10
6.0000E-5	5.1950	8.6842E10	1.9115E9	1.3425E9	1.4761E9	4.9946E10
6.5000E-5	5.5108	9.0222E10	2.2606E9	1.4293E9	1.8268E9	5.2674E10
7.0000E-5	5.8213	9.3221E10	2.6203E9	1.5114E9	2.2059E9	5.5177E10
7.5000E-5	6.1271	9.5884E10	2.9872E9	1.5892E9	2.6101E9	5.7478E10
